code_outa,outa_volts,code_outd,outd_volts
128,0.077038,3967,2.425895
248,0.151052,3847,2.351828
368,0.224438,3727,2.279069
488,0.297565,3607,2.205595
608,0.371491,3487,2.131959
728,0.444634,3367,2.058618
848,0.518393,3247,1.985172
968,0.590957,3127,1.912536
1088,0.664177,3007,1.839459
1208,0.737948,2887,1.765905
1328,0.811892,2767,1.692117
1448,0.884697,2647,1.618960
1568,0.958361,2527,1.545029
1688,1.031954,2407,1.471762
1808,1.105762,2287,1.398013
1928,1.179306,2167,1.324499
2048,1.252069,2047,1.251892
2168,1.324817,1927,1.179192
2288,1.398233,1807,1.105229
2408,1.472222,1687,1.031739
2528,1.545573,1567,0.958161
2648,1.618508,1447,0.884807
2768,1.692196,1327,0.811357
2888,1.766183,1207,0.737796
3008,1.839726,1087,0.664180
3128,1.912967,967,0.590805
3248,1.986141,847,0.517963
3368,2.059522,727,0.444435
3488,2.132976,607,0.371242
3608,2.206388,487,0.297599
3728,2.279678,367,0.224313
3848,2.353745,247,0.150708
3968,2.426924,127,0.077223
