code_outa,outa_volts,code_outd,outd_volts
128,0.077060,3967,2.426075
248,0.151122,3847,2.352292
368,0.224484,3727,2.279164
488,0.297626,3607,2.205731
608,0.371516,3487,2.132023
728,0.444675,3367,2.058382
848,0.518406,3247,1.984956
968,0.590902,3127,1.912194
1088,0.664267,3007,1.839447
1208,0.737926,2887,1.765584
1328,0.811864,2767,1.691852
1448,0.884633,2647,1.618649
1568,0.958240,2527,1.544556
1688,1.031963,2407,1.471582
1808,1.105939,2287,1.398075
1928,1.179273,2167,1.324368
2048,1.251976,2047,1.251726
2168,1.324805,1927,1.179020
2288,1.398419,1807,1.105253
2408,1.472353,1687,1.031749
2528,1.545608,1567,0.958170
2648,1.618598,1447,0.884698
2768,1.692268,1327,0.811283
2888,1.766215,1207,0.737839
3008,1.839827,1087,0.664267
3128,1.913045,967,0.590836
3248,1.986380,847,0.518005
3368,2.060000,727,0.444560
3488,2.133096,607,0.371294
3608,2.206531,487,0.297595
3728,2.280021,367,0.224330
3848,2.354159,247,0.150629
3968,2.427304,127,0.077205
