code_out0,out0_volts,code_out7,out7_volts
128,0.077172,3967,2.426958
248,0.151222,3847,2.353116
368,0.224696,3727,2.280162
488,0.297751,3607,2.206748
608,0.371567,3487,2.133230
728,0.444973,3367,2.059616
848,0.518653,3247,1.986371
968,0.591246,3127,1.913505
1088,0.664479,3007,1.840198
1208,0.738158,2887,1.766686
1328,0.812415,2767,1.692897
1448,0.885212,2647,1.619598
1568,0.958932,2527,1.545856
1688,1.032529,2407,1.472584
1808,1.106581,2287,1.398861
1928,1.180253,2167,1.325413
2048,1.252899,2047,1.252523
2168,1.325663,1927,1.179868
2288,1.399394,1807,1.105968
2408,1.473178,1687,1.032211
2528,1.546512,1567,0.958623
2648,1.619660,1447,0.885384
2768,1.693340,1327,0.811904
2888,1.767411,1207,0.738266
3008,1.841190,1087,0.664617
3128,1.914465,967,0.591117
3248,1.987447,847,0.518059
3368,2.060735,727,0.444965
3488,2.134401,607,0.371479
3608,2.207928,487,0.297750
3728,2.281148,367,0.224535
3848,2.355180,247,0.150866
3968,2.428700,127,0.077390
